i,t,m,boys,women,girls,men,M 00-03,F 00-03,M 04-08,F 04-08,M 09-13,F 09-13,M 14-18,F 14-18,M 19-30,F 19-30,M 31-50,F 31-50,M 51+,F 51+,log HSize
10201021142,2004-05,North,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1.386294361
10201021149,2004-05,North,0,2,4,1,0,1,0,1,0,2,0,0,0,1,1,1,0,0,1.945910149
10201021165,2004-05,North,3,2,7,1,0,1,1,3,0,2,2,1,0,1,0,0,1,1,2.564949357
10201021174,2004-05,North,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
10201021177,2004-05,North,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.098612289
10201021196,2004-05,North,2,1,0,3,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1.791759469
10201021201,2004-05,North,0,0,3,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1.386294361
10201021264,2004-05,North,1,1,3,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,1.791759469
10201021268,2004-05,North,1,1,3,1,0,1,1,0,0,2,0,0,0,1,1,0,0,0,1.791759469
10201021269,2004-05,North,3,1,3,1,0,0,1,2,2,0,0,1,0,0,0,1,1,0,2.079441542
10201021361,2004-05,North,0,1,4,1,0,2,0,1,0,1,0,0,1,1,0,0,0,0,1.791759469
10201021454,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10201032051,2004-05,North,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1.609437912
10201032072,2004-05,North,4,2,9,1,1,3,1,3,1,3,1,0,0,1,1,1,0,0,2.772588722
10201032100,2004-05,North,0,1,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
10201032157,2004-05,North,2,4,4,2,0,0,2,2,0,1,0,1,0,1,1,2,1,1,2.48490665
10201032208,2004-05,North,1,1,3,1,0,1,0,2,1,0,0,0,0,1,1,0,0,0,1.791759469
10201032225,2004-05,North,3,2,3,1,0,3,2,0,1,0,0,0,1,2,0,0,0,0,2.197224577
10201032240,2004-05,North,3,3,4,2,0,2,2,2,1,0,1,0,0,2,0,0,1,1,2.48490665
10201032246,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1.098612289
10201032252,2004-05,North,0,1,3,2,0,2,0,0,0,1,1,0,0,0,1,1,0,0,1.791759469
10201032288,2004-05,North,0,2,2,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1.609437912
10201032325,2004-05,North,4,1,2,1,2,0,1,1,1,1,0,0,0,0,1,1,0,0,2.079441542
10201032344,2004-05,North,1,3,2,2,0,0,0,1,0,0,1,2,1,1,1,0,0,1,2.079441542
10201032376,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10201032379,2004-05,North,1,1,2,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912
10201032390,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
10201032402,2004-05,North,0,1,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1.386294361
10201032427,2004-05,North,1,1,1,5,1,0,0,0,0,0,0,1,4,0,0,1,1,0,2.079441542
10201032457,2004-05,North,2,1,4,1,0,2,1,1,1,1,0,0,0,1,1,0,0,0,2.079441542
10201032468,2004-05,North,4,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1.609437912
10201032479,2004-05,North,1,2,0,3,0,0,0,0,1,0,1,0,1,0,1,2,0,0,1.791759469
10202801013,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10202801025,2004-05,North,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
10202801032,2004-05,North,2,1,3,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1.945910149
10202801035,2004-05,North,2,1,3,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1.791759469
10202801036,2004-05,North,3,1,1,1,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1.791759469
10202801049,2004-05,North,3,3,3,1,1,1,2,1,0,1,0,0,0,2,1,1,0,0,2.302585093
10202801062,2004-05,North,5,1,1,1,2,0,2,0,1,0,0,1,0,0,1,1,0,0,2.079441542
10202801067,2004-05,North,2,1,1,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1.609437912
10202801073,2004-05,North,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
10202801076,2004-05,North,1,1,3,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,1.791759469
10202801081,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10202801082,2004-05,North,0,1,2,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10202801085,2004-05,North,3,1,5,1,0,2,0,3,1,0,2,0,0,0,1,1,0,0,2.302585093
10202801092,2004-05,North,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1.386294361
10202801112,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10202801119,2004-05,North,7,2,1,1,2,0,2,1,2,0,1,0,0,1,1,1,0,0,2.397895273
10202801128,2004-05,North,3,1,1,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,1.791759469
10202801130,2004-05,North,0,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
10202801161,2004-05,North,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1.386294361
10202801226,2004-05,North,3,1,2,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1.945910149
10203002002,2004-05,North,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1.386294361
10203002028,2004-05,North,2,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912
10203002036,2004-05,North,2,1,2,1,1,0,1,2,0,0,0,0,0,1,1,0,0,0,1.791759469
10203002055,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10203002071,2004-05,North,2,2,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1.791759469
10203002077,2004-05,North,0,1,3,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1.609437912
10203002079,2004-05,North,0,1,1,3,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1.609437912
10203002085,2004-05,North,1,2,4,2,0,1,0,2,1,1,1,0,0,1,1,1,0,0,2.197224577
10203002094,2004-05,North,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1.098612289
10203002095,2004-05,North,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.098612289
10203002128,2004-05,North,5,2,3,4,2,0,1,1,2,1,0,1,3,0,1,2,0,0,2.63905733
10203002137,2004-05,North,1,1,2,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912
10203002150,2004-05,North,3,1,3,1,0,0,2,1,0,1,1,1,0,0,1,1,0,0,2.079441542
10203002159,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
10203002165,2004-05,North,1,1,3,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1.791759469
10203002168,2004-05,North,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
10203002182,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10203002188,2004-05,North,1,2,3,1,0,0,0,2,0,0,1,1,0,1,0,1,1,0,1.945910149
10203002197,2004-05,North,3,1,2,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1.945910149
10203002204,2004-05,North,2,2,2,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1.945910149
10203019010,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10203019017,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10203019019,2004-05,North,1,1,2,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
10203019020,2004-05,North,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.098612289
10203019029,2004-05,North,3,2,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1.791759469
10203019044,2004-05,North,0,1,2,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10203019058,2004-05,North,3,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1.609437912
10203019059,2004-05,North,2,1,1,3,0,0,0,0,2,0,0,1,2,0,0,1,1,0,1.945910149
10203019060,2004-05,North,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1.386294361
10203019065,2004-05,North,1,1,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1.386294361
10203019073,2004-05,North,1,1,2,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912
10203019074,2004-05,North,3,1,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,0,2.079441542
10203019080,2004-05,North,0,1,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
10203019086,2004-05,North,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1.386294361
10203019097,2004-05,North,3,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1.791759469
10203019099,2004-05,North,1,1,2,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1.609437912
10203019104,2004-05,North,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1.386294361
10203019116,2004-05,North,2,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10203019117,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10203019124,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10203035014,2004-05,North,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1.609437912
10203035022,2004-05,North,2,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1.609437912
10203035023,2004-05,North,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10203035024,2004-05,North,4,1,0,2,0,0,3,0,0,0,2,0,0,0,0,0,1,1,1.945910149
10203035027,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10203035028,2004-05,North,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.098612289
10203035034,2004-05,North,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1.386294361
10203035039,2004-05,North,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6931471806
10203035050,2004-05,North,1,1,2,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1.609437912
10203035051,2004-05,North,4,1,0,1,1,0,2,0,1,0,0,0,0,0,1,1,0,0,1.791759469
10203035053,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10203035063,2004-05,North,3,1,1,2,2,0,0,1,1,0,1,0,0,0,0,1,1,0,1.945910149
10203035074,2004-05,North,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1.386294361
10203035077,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10203035095,2004-05,North,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.098612289
10203035097,2004-05,North,0,1,2,3,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1.791759469
10203035104,2004-05,North,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10203035106,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.098612289
10203035111,2004-05,North,3,1,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1.609437912
10203035121,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10204021046,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10204021048,2004-05,North,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
10204021049,2004-05,North,3,2,1,3,0,0,0,0,2,0,1,1,2,1,0,0,1,1,2.197224577
10204021053,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.098612289
10204021056,2004-05,North,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1.098612289
10204021064,2004-05,North,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
10204021066,2004-05,North,2,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10204021072,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10204021093,2004-05,North,1,3,2,1,0,2,0,0,1,0,0,0,0,1,0,1,1,1,1.945910149
10204021107,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10204021112,2004-05,North,0,2,2,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1.609437912
10204021123,2004-05,North,1,2,1,2,0,1,0,0,0,0,2,0,0,0,0,2,1,0,1.791759469
10204021130,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
10204021136,2004-05,North,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1.386294361
10204021156,2004-05,North,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1.386294361
10204021194,2004-05,North,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
10204021255,2004-05,North,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10204021262,2004-05,North,1,1,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1.609437912
10204021276,2004-05,North,3,2,0,2,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.945910149
10204021279,2004-05,North,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1.098612289
10204801020,2004-05,North,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
10204801023,2004-05,North,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,1.609437912
10204801036,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10204801041,2004-05,North,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1.386294361
10204801088,2004-05,North,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1.609437912
10204801096,2004-05,North,1,1,1,2,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1.609437912
10204801122,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10204801152,2004-05,North,2,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1.791759469
10204801159,2004-05,North,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
10204801171,2004-05,North,3,1,2,2,1,0,1,1,0,0,1,1,2,1,0,0,0,0,2.079441542
10204801172,2004-05,North,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
10204801179,2004-05,North,1,3,3,2,0,0,0,0,0,3,1,0,2,1,0,1,0,1,2.197224577
10204801192,2004-05,North,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361
10204801198,2004-05,North,2,1,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
10204801203,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10204801218,2004-05,North,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1.386294361
10204801230,2004-05,North,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.386294361
10204801235,2004-05,North,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1.386294361
10204801246,2004-05,North,0,1,4,1,0,2,0,1,0,1,0,0,0,0,1,1,0,0,1.791759469
10204801253,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10205005008,2004-05,North,0,1,3,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1.609437912
10205005011,2004-05,North,3,1,4,1,0,1,2,0,1,1,0,2,0,0,1,1,0,0,2.197224577
10205005015,2004-05,North,1,1,3,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1.609437912
10205005039,2004-05,North,3,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1.791759469
10205005041,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10205005046,2004-05,North,1,2,2,3,0,0,1,0,0,1,0,1,2,1,0,1,1,0,2.079441542
10205005105,2004-05,North,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.098612289
10205005125,2004-05,North,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10205005130,2004-05,North,2,1,1,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1.609437912
10205005144,2004-05,North,0,1,4,1,0,1,0,2,0,1,0,0,0,1,1,0,0,0,1.791759469
10205005174,2004-05,North,3,1,0,2,0,0,1,0,2,0,1,0,0,1,1,0,0,0,1.791759469
10205005205,2004-05,North,4,2,2,2,1,0,1,1,2,1,0,0,1,1,0,1,1,0,2.302585093
10205005228,2004-05,North,5,2,6,1,2,2,1,1,1,2,1,1,0,0,1,2,0,0,2.63905733
10205005241,2004-05,North,0,2,3,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1.609437912
10205005290,2004-05,North,3,4,3,2,1,1,2,1,0,1,0,1,1,1,0,1,1,1,2.48490665
10205005292,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
10205005310,2004-05,North,2,2,2,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1.945910149
10205005335,2004-05,North,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1.609437912
10205005352,2004-05,North,2,1,5,1,0,1,1,1,1,1,0,2,0,0,1,1,0,0,2.197224577
10205005362,2004-05,North,4,1,1,2,1,0,0,1,2,0,2,0,0,0,1,1,0,0,2.079441542
10205011003,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10205011007,2004-05,North,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
10205011020,2004-05,North,3,1,2,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1.945910149
10205011033,2004-05,North,3,0,0,2,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1.609437912
10205011044,2004-05,North,4,2,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,1,2.079441542
10205011052,2004-05,North,0,1,4,1,0,1,0,2,0,1,0,0,0,1,1,0,0,0,1.791759469
10205011066,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10205011084,2004-05,North,2,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1.386294361
10205011093,2004-05,North,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10205011101,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10205011103,2004-05,North,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1.791759469
10205011114,2004-05,North,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10205011125,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
10205011133,2004-05,North,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
10205011144,2004-05,North,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10205011154,2004-05,North,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289
10205011155,2004-05,North,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1.609437912
10205011168,2004-05,North,2,1,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1.791759469
10205011188,2004-05,North,2,2,2,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1.945910149
10205011195,2004-05,North,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
10220712010,2004-05,North,3,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1.609437912
10220712067,2004-05,North,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6931471806
10220712084,2004-05,North,1,2,3,1,0,0,0,1,0,2,1,1,0,0,0,1,1,0,1.945910149
10220712091,2004-05,North,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361
10220712092,2004-05,North,2,1,2,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1.791759469
10220712165,2004-05,North,0,1,6,1,0,1,0,2,0,2,0,1,0,0,1,1,0,0,2.079441542
10220712177,2004-05,North,4,1,1,1,1,0,0,1,3,0,0,0,0,0,1,1,0,0,1.945910149
10220712178,2004-05,North,2,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912
10220712183,2004-05,North,0,1,1,3,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1.609437912
10220712197,2004-05,North,1,3,1,1,0,0,0,0,0,1,1,0,1,2,0,1,0,0,1.791759469
10220712210,2004-05,North,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.098612289
10220712212,2004-05,North,1,1,2,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,1.609437912
10220712231,2004-05,North,2,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1.609437912
10220712249,2004-05,North,4,3,3,0,0,1,2,1,2,1,0,0,0,1,0,1,0,1,2.302585093
10220712253,2004-05,North,4,1,1,1,0,0,3,0,1,1,0,0,0,1,1,0,0,0,1.945910149
10220712262,2004-05,North,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1.386294361
10220712285,2004-05,North,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1.386294361
10220712291,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
10220712297,2004-05,North,0,1,4,1,0,0,0,1,0,2,0,1,1,0,0,1,0,0,1.791759469
10220712318,2004-05,North,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1.386294361
10220715013,2004-05,North,2,1,2,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1.791759469
10220715021,2004-05,North,0,0,0,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1.609437912
10220715025,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10220715030,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10220715032,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
10220715034,2004-05,North,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471806
10220715039,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10220715040,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10220715044,2004-05,North,0,1,2,2,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1.609437912
10220715051,2004-05,North,3,2,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1.945910149
10220715059,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10220715063,2004-05,North,1,1,1,3,0,0,0,0,1,0,0,1,2,0,0,0,1,1,1.791759469
10220715069,2004-05,North,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1.098612289
10220715073,2004-05,North,2,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
10220715085,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10220715087,2004-05,North,2,1,1,3,0,0,1,0,0,1,1,0,2,1,1,0,0,0,1.945910149
10220715094,2004-05,North,4,1,1,1,1,0,1,1,2,0,0,0,0,1,1,0,0,0,1.945910149
10220715114,2004-05,North,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.098612289
10220715139,2004-05,North,1,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1.609437912
10220715187,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10301002017,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
10301002019,2004-05,North,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
10301002038,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10301002040,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10301002044,2004-05,North,1,1,3,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1.791759469
10301002049,2004-05,North,2,2,2,2,1,0,1,1,0,1,0,0,1,1,1,0,0,1,2.079441542
10301002083,2004-05,North,4,1,0,1,1,0,1,0,2,0,0,0,0,0,0,1,1,0,1.791759469
10301002087,2004-05,North,1,3,4,1,1,1,0,2,0,1,0,0,0,1,0,1,1,1,2.197224577
10301002095,2004-05,North,1,2,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1.609437912
10301002109,2004-05,North,0,1,2,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1.609437912
10301002120,2004-05,North,3,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1.791759469
10301002125,2004-05,North,0,3,0,4,0,0,0,0,0,0,0,0,3,1,1,1,0,1,1.945910149
10301002150,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10301002151,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
10301002173,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10301002175,2004-05,North,2,3,8,1,0,3,1,1,1,3,0,2,1,1,0,1,0,0,2.63905733
10301002203,2004-05,North,2,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1.609437912
10301002212,2004-05,North,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
10301002260,2004-05,North,0,1,4,1,0,1,0,2,0,1,0,0,0,1,1,0,0,0,1.791759469
10301002286,2004-05,North,0,2,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1.386294361
10301020051,2004-05,North,0,1,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
10301020056,2004-05,North,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
10301020058,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10301020068,2004-05,North,2,1,3,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1.945910149
10301020107,2004-05,North,3,1,1,1,0,0,1,0,2,1,0,0,0,1,1,0,0,0,1.791759469
10301020127,2004-05,North,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1.386294361
